# Default data for bond lengths (in A) between metal, connection atom and ligand
# keys are metal, ox state, spin multiplicity, reacting atom, bondl_sub, bondl_m3D, bondl_core3D
# hat, reacting atom = H
Co - - H 1.30 1.20 1.80
Co 4 2 H 1.32231 1.18636 1.81724
Co 4 4 H 1.25423 1.25184 1.7706
Cr - - H 1.30 1.20 1.80
Cr 4 3 H 1.31959 1.21401 1.80747
Fe - - H 1.30 1.20 1.80
Fe 4 3 H 1.36026 1.17127 1.77681
Fe 4 5 H 1.2752 1.24083 1.81202
Fe 5 2 H 1.27155 1.23806 1.74272
Fe 5 4 H 1.25304 1.26597 1.78287
Mn - - H 1.30 1.25 1.75
Mn 4 2 H 1.31825 1.20793 1.7454
Mn 4 4 H 1.30066 1.23887 1.77138
Mn 5 3 H 1.2663 1.26063 1.7589
# oat, reacting atom = N
Co - - N 1.14 1.55 1.87
Co 4 2 N 1.15 1.50 1.90
Co 4 4 N 1.13 1.60 1.85
Cr - - N 1.14 1.61 1.96
Cr 4 3 N 1.14 1.61 1.96
Fe - - N 1.16 1.60 1.83
Fe 4 3 N 1.14 1.52 1.90
Fe 4 5 N 1.25 1.60 1.88
Fe 5 2 N 1.11 1.62 1.77
Fe 5 4 N 1.13 1.65 1.88
Mn - - N 1.13 1.50 1.87
Mn 4 4 N 1.11 1.55 1.80
Mn 5 3 N 1.15 1.45 1.94
Cu - - N 1.899 1.196 1.262
# cat, reacting atom = C
Co - - C 1.36 2.00 1.80
Co 4 2 C 1.36214 2.03194 1.82858
Co 4 4 C 1.36987 1.99042 1.70842
Cr - - C 1.40 1.95 1.70
Cr 4 3 C 1.37512 2.00213 1.77526
Cr 5 2 C 1.43336 1.89547 1.63855
Fe - - C 1.37 2.70 1.70
Fe 4 3 C 1.37808 2.01685 1.71966
Fe 4 5 C 1.36509 2.09892 1.77272
Fe 5 2 C 1.38207 2.21715 1.67684
Fe 5 4 C 1.37462 2.08593 1.73004
Mn - - C 1.38 2.00 1.70
Mn 4 2 C 1.38044 1.9742 1.70446
Mn 4 4 C 1.36974 2.11334 1.73752
Mn 5 3 C 1.37086 2.28663 1.69951
